,AGN,BA,BABA,BAC,BMY,BP,BUD,C,CHL,CVS,CVX,DIS,GE,HD,HSBC,IBM,JNJ,JPM,KO,LFC,LLY,MA,MCD,MDT,MO,MRK,NTT,NVO,NVS,ORCL,PEP,PFE,PG,PM,PTR,RAI,SLB,SNY,T,TM,TOT,TSM,UL,UN,UNH,V,VZ,WFC,WMT,XOM
2014-04-01,0,4,0,2,0,2,0,-2,2,0,-4,0,0,0,0,11,1,5,2,0,6,2,4,-4,0,2,0,0,-2,5,2,1,2,2,0,3,0,0,14,0,0,0,0,0,-2,3,11,-1,1,3
2014-04-02,0,-1,0,1,-1,-1,-2,-3,0,1,0,5,1,0,0,2,0,1,3,0,3,2,-1,0,1,2,0,0,1,7,6,-4,2,1,0,0,-1,1,1,-2,-2,1,0,0,0,1,0,-1,4,2
2014-04-03,0,1,0,9,0,1,0,-1,0,1,0,3,2,0,0,-2,2,-3,6,0,9,-2,0,-2,0,3,0,0,0,4,7,2,2,-1,0,0,3,0,5,0,3,1,0,0,0,5,4,-5,4,-2
2014-04-04,0,4,0,4,0,-1,0,-3,-1,-1,2,1,1,-1,0,0,3,7,-2,0,1,-4,3,0,5,2,0,0,0,1,5,1,1,3,-1,0,1,2,1,0,0,1,0,0,2,-11,4,3,-1,-2
2014-04-05,0,-1,0,-6,0,-1,0,1,0,0,1,-3,-2,0,0,-2,1,4,-2,0,0,-2,-1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,2
2014-04-06,1,0,0,0,0,-1,0,-1,0,1,1,3,0,-1,0,-2,2,0,2,0,3,1,0,1,0,2,0,0,-1,5,5,-1,0,0,0,0,-1,0,2,2,0,0,1,0,0,0,0,1,2,3
2014-04-07,0,4,0,16,1,0,1,18,0,0,2,1,6,1,0,6,7,9,9,0,1,2,5,0,-1,2,0,0,1,1,10,6,-6,0,0,0,0,-1,10,1,0,0,-1,0,3,6,1,6,1,4
2014-04-08,0,0,0,11,-1,-1,-1,-5,0,1,-1,2,1,1,0,-2,1,0,5,0,1,1,-1,1,1,1,0,0,1,2,5,-3,0,3,-1,2,2,0,4,1,-1,0,2,0,3,-5,3,3,1,-3
2014-04-09,0,0,0,18,0,1,0,-2,0,2,2,2,0,0,0,13,3,2,-3,0,5,2,-2,0,6,-1,0,0,0,-1,7,-1,8,1,0,3,2,0,6,-2,0,0,1,1,0,10,0,-1,0,3
2014-04-10,0,5,0,2,0,0,0,13,2,2,-1,1,0,1,0,17,3,10,3,-1,2,-2,1,0,3,0,0,0,1,-1,6,3,1,0,0,4,2,1,3,-1,-1,0,-2,0,0,2,1,10,2,0
2014-04-11,3,2,0,13,1,0,0,1,1,0,1,2,3,1,0,3,0,-10,5,0,0,-1,-2,1,3,2,0,0,0,0,6,2,-1,1,0,0,0,0,6,2,0,0,0,0,0,-8,1,10,-1,4
2014-04-12,0,0,0,-1,0,0,0,-4,0,0,0,5,0,0,0,1,1,-3,-1,0,0,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,2,4,0,0,-4,1
2014-04-13,0,1,0,4,0,0,0,-5,0,0,-1,2,-1,1,0,-5,0,0,1,0,2,-1,0,0,1,2,0,0,0,4,4,1,1,0,0,1,0,0,-1,0,0,0,1,0,2,0,0,4,0,-3
2014-04-14,0,0,0,19,1,1,-1,17,0,0,5,2,3,8,0,2,-5,-8,6,0,16,14,5,4,0,7,0,0,0,3,6,3,4,1,0,0,1,0,-1,2,-1,2,2,1,1,17,2,-5,5,5
2014-04-15,1,-3,0,10,1,0,1,8,0,-1,-1,3,-1,3,0,3,24,5,24,0,8,4,5,1,0,6,0,0,1,0,5,3,3,0,0,2,3,1,1,4,0,2,0,0,1,8,2,4,3,6
2014-04-16,5,2,0,-13,0,0,0,-6,0,0,2,2,7,1,0,-29,11,-7,20,0,-1,7,2,0,0,3,0,0,0,0,31,2,5,3,0,-1,5,1,3,-1,-1,-1,0,2,-1,2,0,-3,2,-1
2014-04-17,3,-1,0,18,2,3,0,2,-1,0,2,-1,15,3,0,-5,7,4,8,0,2,15,1,0,1,1,0,0,-1,0,67,-2,3,3,0,2,6,0,1,-1,2,7,0,0,3,5,0,2,3,2
2014-04-18,0,1,0,5,1,2,0,2,0,0,0,0,0,0,0,-3,0,1,2,0,4,0,0,1,-1,0,0,0,0,0,4,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,-1,0,0
2014-04-19,0,2,0,-1,0,1,0,0,0,0,-2,0,1,-1,0,-4,5,-1,1,0,1,-3,1,0,0,0,0,0,0,-1,3,-1,0,0,0,0,2,0,1,0,0,0,0,0,3,1,0,-1,0,-1
2014-04-20,1,2,0,-1,2,0,0,4,0,0,1,1,2,1,0,-1,2,2,3,0,1,-1,2,0,-1,0,0,0,0,0,1,-2,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,2,1
2014-04-21,8,2,0,4,1,2,0,-3,0,-3,0,2,5,-1,0,-3,0,1,-2,0,5,-2,3,1,0,3,0,0,0,3,7,10,1,1,0,1,4,1,1,-2,0,1,0,0,1,-1,5,0,2,5
2014-04-22,12,-1,0,13,2,1,0,1,0,0,0,1,0,7,0,0,3,0,7,0,1,-2,-10,0,0,0,0,-1,2,2,4,3,4,0,0,2,0,0,10,-1,0,0,0,0,1,-1,1,0,3,4
2014-04-23,-11,8,0,2,0,-1,0,0,-2,1,0,1,0,5,0,-3,1,-3,1,0,0,0,-1,0,-1,1,0,0,-1,1,6,-1,3,0,-2,1,4,0,19,1,0,0,0,0,0,7,0,1,4,3
2014-04-24,-3,1,0,1,0,1,0,-5,1,0,-1,1,1,3,0,-4,4,0,-4,0,2,-3,-2,0,4,-1,0,0,2,1,5,0,-3,-1,0,1,1,0,0,0,-1,1,1,-1,0,5,12,-4,-2,2
2014-04-25,1,1,0,-5,0,1,0,-2,1,0,2,0,0,-2,0,-4,3,0,8,-1,-1,-4,6,0,2,0,0,0,0,1,3,-1,3,0,0,0,2,0,4,1,0,-1,0,0,1,-2,4,1,0,3
2014-04-26,1,1,0,-6,0,0,0,1,0,0,-1,-1,1,0,0,0,1,-1,2,0,1,0,1,0,-1,0,0,0,0,0,2,2,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1
2014-04-27,0,0,0,4,0,-1,1,2,0,1,-1,0,6,0,0,-1,3,0,-1,0,2,1,1,0,-1,1,0,0,0,6,4,2,0,0,0,0,2,0,3,1,0,0,0,0,0,1,-1,-1,1,-1
2014-04-28,-2,0,0,-22,0,-2,2,-5,0,1,2,-1,3,-2,0,-11,-3,0,5,0,3,-10,4,0,9,4,0,2,0,0,15,19,2,2,0,-1,-1,-1,14,1,1,1,0,0,0,2,0,1,4,4
2014-04-29,2,1,0,4,0,1,1,3,-2,1,3,3,3,-3,0,8,-1,2,5,0,2,-3,1,0,1,0,0,0,-1,0,9,4,-1,3,-1,0,1,2,30,0,0,0,0,0,1,2,2,2,4,6
2014-04-30,0,2,0,-4,2,6,-2,-3,0,1,1,0,2,3,0,2,2,0,5,0,3,4,3,0,5,3,0,0,-1,3,10,2,2,1,0,1,-1,-2,11,0,-2,0,-2,0,0,1,2,-3,2,7
2014-05-01,-2,2,0,-2,0,-1,-1,-1,0,3,-1,0,1,0,0,-5,5,-6,6,0,1,12,-1,1,1,3,0,0,0,-4,5,-2,5,0,0,0,0,0,6,1,2,0,1,1,-2,1,0,1,5,1
2014-05-02,-1,-1,0,3,1,1,1,-3,0,-1,-3,5,3,2,0,-1,3,-9,3,0,-1,9,2,0,1,1,1,1,0,0,4,-4,0,0,0,0,0,0,-4,-1,0,2,0,0,1,6,-1,0,0,3
2014-05-03,0,0,0,-2,0,1,0,1,0,0,-1,2,1,0,0,0,0,0,-2,0,1,1,0,0,1,1,0,0,1,0,1,5,1,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,-1,0,-1
2014-05-04,0,-1,0,0,0,2,0,0,0,0,0,3,0,0,0,-1,1,1,3,0,0,1,2,2,0,0,0,0,0,-1,3,1,-1,0,0,0,1,0,1,-1,0,0,0,0,1,0,-1,0,2,0
2014-05-05,2,4,0,-4,2,1,0,-4,0,0,1,3,4,1,0,0,4,-11,4,0,0,-1,3,-1,0,0,0,0,0,2,5,5,2,1,0,0,1,-1,11,0,0,0,0,0,-1,-1,0,-1,3,1
2014-05-06,0,2,0,10,2,1,2,-2,0,2,-2,21,5,2,0,-3,2,-8,6,0,-1,2,1,-1,2,-2,0,0,0,1,7,5,0,2,-1,0,0,1,5,2,0,2,0,0,-1,4,4,1,2,-3
2014-05-07,7,3,0,10,0,-2,-3,-3,0,0,-1,16,0,1,0,3,0,1,4,0,0,1,2,-1,-2,-3,0,0,0,1,17,0,3,0,0,0,1,0,12,1,0,2,0,0,0,9,3,2,5,-2
2014-05-08,0,1,0,1,-1,0,0,3,0,3,0,9,1,1,0,2,-1,3,4,0,1,1,4,0,-1,0,0,0,0,3,6,6,0,1,0,-1,0,0,8,-1,1,1,0,0,1,3,0,1,-1,-1
2014-05-09,1,1,0,-2,1,-4,-1,1,1,1,-2,5,1,1,0,0,6,-6,1,0,1,0,5,2,0,2,0,0,1,3,5,3,3,1,0,1,0,0,6,-1,0,0,0,0,0,4,3,-1,4,-1
2014-05-10,0,1,0,-3,1,0,0,0,0,0,0,3,0,0,0,0,5,0,2,0,1,0,0,1,0,1,0,0,-1,2,4,2,1,0,0,0,0,0,-2,0,0,0,0,0,1,1,0,1,0,2
2014-05-11,0,2,0,0,0,1,0,0,-1,-1,3,0,-1,0,0,2,3,-4,-1,0,1,0,-1,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,-1,1,0,0,0,0,0,2,1,0,0,1
2014-05-12,-9,2,0,12,0,0,0,7,0,0,0,0,3,-2,0,1,0,2,0,0,3,1,1,0,0,-3,0,0,1,-1,7,-1,1,1,0,2,-1,0,2,2,0,0,0,1,1,-2,-4,4,0,1
2014-05-13,-1,2,0,4,1,1,1,-4,1,1,1,2,-2,-2,0,2,4,1,11,0,2,1,4,-1,-1,0,0,0,0,-2,6,0,1,2,0,0,0,0,10,1,0,1,0,0,0,1,4,-1,6,1
2014-05-14,1,6,0,0,3,0,1,-2,0,0,-1,0,1,-4,0,1,0,-3,9,0,0,3,0,0,2,0,0,0,0,2,7,5,1,1,0,1,1,0,0,-1,0,1,0,0,0,2,0,3,3,-2
2014-05-15,4,2,0,4,5,5,-1,1,0,0,-1,2,0,0,0,1,1,2,0,0,0,2,2,2,1,1,1,0,-1,3,4,2,0,0,0,0,0,0,8,-1,0,0,0,-1,0,6,14,3,-18,-4
2014-05-16,3,-1,0,-5,1,-1,1,3,0,1,0,3,5,8,0,3,0,2,0,0,0,-2,0,0,0,1,0,0,1,7,9,0,2,-1,0,0,0,-1,0,0,-1,0,1,1,2,0,10,4,0,2
2014-05-17,0,0,0,-3,-2,0,4,-1,0,0,0,0,2,-1,0,0,1,-1,0,0,1,1,0,0,0,0,0,0,-1,1,1,-1,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,3,2
2014-05-18,1,1,0,-1,1,0,0,-5,0,3,-1,0,1,2,0,1,2,-4,1,0,1,0,1,0,1,0,0,0,0,0,2,1,1,1,0,0,0,0,6,1,0,0,0,0,1,1,-1,0,2,0
2014-05-19,0,-2,0,5,4,4,1,-3,2,11,2,1,0,5,0,6,2,0,1,0,1,-2,-1,-1,0,2,0,0,-1,1,16,8,3,2,0,1,0,0,21,0,0,0,0,0,1,2,8,-2,-1,1
2014-05-20,2,1,0,10,-1,2,2,4,2,1,-1,4,3,-12,0,-4,0,2,3,0,0,0,-5,1,2,0,0,1,1,4,3,-2,1,0,0,0,0,0,1,0,0,0,0,0,0,-1,-1,-2,-1,0
2014-05-21,4,3,0,7,0,-1,0,3,0,0,0,5,4,3,0,-5,2,7,3,-1,1,4,1,-1,3,2,0,0,0,4,4,2,2,0,0,2,2,0,6,1,0,0,0,2,1,-2,1,1,3,0
2014-05-22,0,2,0,3,0,1,0,0,0,0,1,4,1,2,0,3,0,1,3,0,1,-1,-2,2,1,1,0,0,1,1,5,4,0,4,1,-1,1,0,2,1,0,0,0,0,0,-1,1,4,3,2
2014-05-23,1,4,0,5,0,1,0,3,0,-2,-2,4,7,3,0,-1,5,-1,0,0,0,1,1,1,0,0,0,0,-3,0,1,0,1,-1,-1,0,0,-1,6,1,0,0,0,0,1,3,3,5,2,0
2014-05-24,1,1,0,2,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,-1,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,-1,0,0,1,0,1,0,-3,0,2,1,0
2014-05-25,0,0,0,3,0,0,0,0,0,0,0,-1,0,0,0,-1,1,-2,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0
2014-05-26,1,0,0,-2,0,1,0,0,0,0,1,-3,0,1,0,0,0,0,2,0,1,1,-1,2,0,0,0,0,0,2,3,2,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1,-1,3,1
2014-05-27,3,1,0,12,0,-1,1,1,-1,2,0,0,-2,4,0,-11,2,3,5,0,0,4,1,0,2,0,0,0,0,-1,5,2,0,1,-1,0,2,1,3,0,0,1,0,0,1,2,2,6,1,2
2014-05-28,-4,1,0,2,0,-1,0,-4,0,1,1,5,-2,3,0,-12,-1,-1,2,0,2,2,4,0,0,2,0,0,2,1,9,-3,0,2,1,0,-1,0,1,1,-1,-1,0,0,1,0,1,2,4,-2
2014-05-29,2,3,0,3,0,1,1,0,0,2,4,3,5,0,0,-1,2,0,3,0,0,-1,1,1,7,1,0,0,0,2,8,5,2,3,1,1,3,0,16,-1,0,0,1,1,-2,0,3,0,-3,0
2014-05-30,13,1,0,1,3,1,0,2,-1,2,3,7,-1,1,0,-2,1,-6,3,-1,0,1,0,1,-1,3,0,0,0,-1,5,3,3,0,-1,1,4,0,0,2,1,0,0,0,0,0,2,4,6,3
2014-05-31,0,0,0,0,0,0,0,2,0,0,0,1,2,1,0,0,0,2,-1,0,1,0,-2,1,1,0,0,0,0,0,4,0,-1,1,0,1,0,0,0,0,0,0,0,0,0,2,1,1,0,1
2014-06-01,1,2,0,-2,0,1,0,2,1,0,0,2,0,-1,0,0,-3,2,1,0,0,0,0,0,1,0,0,1,0,0,5,0,0,0,0,0,0,0,1,-1,1,0,0,0,0,1,0,0,1,1
2014-06-02,3,0,0,5,6,2,0,-1,-1,3,2,1,3,3,0,2,3,1,8,-1,3,4,1,2,3,2,0,0,0,1,6,2,2,4,-1,2,-1,0,5,0,0,-2,0,0,0,-3,-1,4,5,2
2014-06-03,2,4,0,6,1,1,0,5,2,0,-1,0,-2,2,0,5,4,1,5,0,0,2,2,0,1,4,0,0,0,1,4,-4,2,1,0,1,4,1,21,3,0,2,0,0,0,-3,6,8,4,3
2014-06-04,3,2,0,7,0,0,0,0,2,1,-1,3,3,2,0,2,1,0,2,0,1,-2,3,0,2,0,0,1,1,1,3,-1,2,1,-1,2,3,0,6,2,0,1,0,0,1,3,-2,4,3,3
2014-06-05,0,4,0,22,0,-1,-1,5,0,1,0,4,4,0,0,2,2,3,5,0,0,-2,2,1,2,1,0,0,-3,3,7,-2,0,-1,0,2,0,0,10,4,0,0,1,0,2,-2,-5,5,11,-1
2014-06-06,-2,2,0,14,0,-1,2,-2,1,0,1,5,1,2,0,-1,2,-3,-3,0,0,7,3,0,1,3,0,1,0,-2,4,2,2,2,1,0,2,0,2,0,0,0,-1,0,-1,3,-4,3,1,4
2014-06-07,0,1,0,4,0,0,0,0,0,0,0,0,4,1,0,0,2,3,2,0,1,1,0,0,0,1,0,0,0,1,3,-2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,-1,-1,1,2
2014-06-08,0,0,0,6,0,1,2,3,0,0,1,0,-2,0,0,0,1,1,4,0,0,-2,1,0,0,0,0,0,0,0,2,2,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,-4,0
2014-06-09,1,0,0,7,-2,-2,0,-2,1,1,-1,2,4,0,0,3,-1,4,3,0,0,2,1,1,2,13,0,0,1,0,5,-3,0,1,0,0,-1,0,4,0,0,-1,1,0,0,-2,-1,4,3,-1
2014-06-10,-10,2,0,-3,3,-1,-1,1,1,0,-3,0,0,0,0,6,4,1,0,0,0,2,-1,0,3,1,0,0,2,-1,8,0,2,1,0,0,-1,1,3,-1,-1,-1,0,0,0,-4,0,5,4,-3
2014-06-11,-2,-2,0,4,0,0,3,0,0,-1,1,-2,4,2,0,2,3,1,2,0,0,2,-1,2,0,6,1,0,1,2,5,0,0,2,0,2,0,-1,3,0,-1,0,0,0,0,2,0,1,1,1
2014-06-12,-1,-4,0,3,1,-1,2,2,0,0,2,-3,-2,0,0,8,3,0,1,0,0,0,3,2,0,0,0,1,0,1,4,0,1,-2,0,1,-1,1,5,-3,0,0,0,0,1,4,-3,1,2,3
2014-06-13,0,4,0,6,1,1,1,0,2,1,3,3,-2,0,0,3,1,5,0,0,1,0,2,-1,0,-1,-1,0,0,-2,3,2,-1,1,-1,0,-1,0,-3,0,1,0,0,0,0,1,2,4,1,-1
2014-06-14,0,1,0,-2,0,2,0,1,0,-1,1,4,0,0,0,4,1,-2,0,0,0,0,1,4,-1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,-1,0,0,-1,1,2,-1,3,-1
2014-06-15,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,2,0,-1,0,1,0,-1,0,2,0,0,0,1,1,1,1,0,0,0,0,1,-1,0,0,0,0,0,1,0,0,2,1
2014-06-16,-2,-1,0,6,1,1,0,3,-1,0,8,2,-1,4,0,1,4,-4,3,0,-2,0,-1,15,0,1,0,0,1,-1,2,2,0,0,2,0,3,0,3,1,1,0,0,0,-1,-1,0,2,3,4
2014-06-17,-2,4,0,3,-1,-1,1,0,0,1,-1,6,-1,1,0,5,4,2,0,0,1,3,0,7,-2,2,0,1,0,-5,2,-3,-2,-1,0,0,2,1,0,0,0,0,0,0,1,2,-2,5,-2,-1
2014-06-18,4,4,0,4,0,4,1,-3,0,1,0,3,3,0,0,0,3,-3,4,0,-1,2,0,1,3,3,0,0,0,1,13,0,1,2,0,-4,1,0,13,1,1,0,0,0,2,-1,6,-1,0,2
2014-06-19,0,-2,0,5,0,0,-2,3,0,0,1,1,8,2,0,3,0,-2,7,0,1,3,0,5,0,1,0,0,1,-25,9,1,4,1,0,1,2,0,5,2,0,2,0,1,1,3,1,0,-1,-6
2014-06-20,0,4,0,6,1,2,6,-1,0,1,0,5,11,0,0,2,9,3,5,0,10,3,1,5,6,1,0,0,2,12,12,3,5,3,0,0,0,1,1,0,3,0,0,0,1,-1,-1,2,1,0
2014-06-21,0,-1,0,-1,0,0,0,1,0,-1,0,1,2,0,0,2,3,1,0,0,1,3,0,-1,0,1,0,0,0,-1,0,0,0,0,0,0,0,1,1,-1,0,0,0,0,1,3,-1,0,0,0
2014-06-22,0,0,0,0,1,0,1,0,0,0,1,1,4,0,0,1,4,1,1,0,2,-2,1,0,1,0,0,0,0,2,2,2,0,1,0,0,0,0,3,0,0,0,0,0,0,-3,0,0,1,1
2014-06-23,0,3,0,4,1,-1,2,2,-1,-1,0,-1,3,0,0,2,5,8,1,0,1,-3,1,0,1,2,0,0,2,9,4,0,3,0,2,0,1,0,3,-1,0,1,1,0,0,-1,3,6,1,4
2014-06-24,3,8,0,6,1,1,0,1,2,-1,1,2,0,2,0,3,3,3,4,0,2,5,-3,3,-3,2,0,0,3,6,2,-1,1,4,-1,-3,1,0,2,2,0,0,1,0,1,3,1,-1,-2,1
2014-06-25,4,4,0,4,2,-2,2,-1,0,1,-4,0,4,2,0,-3,-1,-2,-1,0,1,-2,0,1,0,0,0,0,3,0,3,4,7,-1,0,1,17,0,11,1,2,0,0,0,0,-1,0,-3,2,1
2014-06-26,4,5,3,5,0,0,0,5,0,2,0,2,-1,1,0,0,5,5,-1,0,4,2,0,1,0,2,0,0,2,1,0,3,0,5,1,-1,6,0,0,-1,0,1,0,0,0,-1,-1,2,1,3
2014-06-27,1,3,-1,-2,6,-2,1,-2,0,0,0,3,0,0,0,-4,0,1,4,0,1,2,1,1,0,2,0,0,2,-2,1,6,0,-3,0,0,0,0,0,-2,0,0,0,2,-1,-2,0,1,0,-1
2014-06-28,0,0,1,3,0,0,1,2,0,1,0,2,4,1,0,2,1,-1,1,0,1,1,1,1,0,2,0,0,1,0,0,0,0,0,0,0,2,1,0,2,0,1,0,0,0,-1,1,1,0,0
2014-06-29,1,0,1,2,0,0,0,1,0,0,0,1,0,2,0,1,3,0,2,0,2,-1,2,0,0,2,0,1,2,2,0,3,2,1,0,0,0,0,1,-1,0,0,0,0,0,1,0,2,-1,0
2014-06-30,1,3,7,5,1,0,1,-2,0,2,-1,7,3,1,0,1,1,3,1,0,-1,1,-1,1,-1,2,0,-1,3,-1,3,3,0,2,0,0,0,2,3,2,0,-1,0,1,1,1,1,2,2,0
2014-07-01,2,5,3,4,1,2,0,2,1,0,1,5,-2,-1,0,-6,2,-6,3,0,0,10,0,0,0,4,0,2,-1,1,3,-4,2,1,0,-1,2,2,3,1,0,2,0,0,0,5,4,6,0,-1
